,Country_of_Origin,Region,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,CleanCup,Sweetness,CupperPoints,TotalCupPoints
829,Mexico,CentralA,7.5,7.42,7.25,7.5,7.33,7.33,10,10,10,7.58,81.92
830,Mexico,CentralA,7.33,7.58,7.17,7.58,7.42,7.33,10,10,10,7.5,81.92
831,Mexico,CentralA,7.67,7.42,7.33,7.83,7.5,7.5,9.33,10,10,7.33,81.92
832,Brazil,SouthA,7.42,7.58,7.25,7.5,7.33,7.5,10,10,10,7.33,81.92
833,Colombia,SouthA,7.67,7.33,7.33,7.58,7.33,7.33,10,10,10,7.33,81.92
834,Guatemala,CentralA,7.42,7.5,7.25,7.5,7.33,7.42,10,10,10,7.42,81.83
835,Costa Rica,CentralA,7.25,7.33,7.5,7.33,7.67,7.42,10,10,10,7.33,81.83
836,Brazil,SouthA,7.42,7.5,7.42,7.5,7.42,7.25,10,10,10,7.33,81.83
837,Indonesia,Asia,7.75,7.83,7.58,7.75,7.92,7.83,10,10,10,5.17,81.83
838,Guatemala,CentralA,7.58,7.5,7.33,7.42,7.58,7.25,10,10,10,7.17,81.83
839,Brazil,SouthA,7.17,7.58,6.83,7.5,7.75,7.25,10,10,10,7.75,81.83
840,Brazil,SouthA,7.58,7,6.92,6.92,7.67,7.5,10,10,10,8.25,81.83
841,Myanmar,Asia,7.33,7.58,7.5,7.42,7.33,7.33,10,10,10,7.33,81.83
842,Mexico,CentralA,7.58,7.5,7.33,7.5,7.17,7.33,10,10,10,7.42,81.83
843,Honduras,CentralA,7.5,7.5,7.33,7.5,7.42,7.25,10,10,10,7.33,81.83
844,Costa Rica,CentralA,7.67,7.5,7.5,7.25,7.08,7.42,10,10,10,7.42,81.83
845,Taiwan,Asia,7.67,7.33,7.17,7.25,7.75,7.33,10,10,10,7.33,81.83
846,Indonesia,Asia,7.42,7.42,7.42,7.33,7.42,7.42,10,10,10,7.42,81.83
847,Malawi,Africa,7.58,7.42,7.33,7.33,7.33,7.42,10,10,10,7.42,81.83
848,Brazil,SouthA,7.33,7.58,7.25,7.17,7.83,7.33,10,10,10,7.33,81.83
849,Honduras,CentralA,7.5,7.5,7.33,7.33,7.33,7.33,10,10,10,7.5,81.83
850,Mexico,CentralA,7.42,7.42,7.25,7.5,7.33,7.42,10,10,10,7.5,81.83
851,Colombia,SouthA,7.5,7.5,7,7.42,7.5,7.58,10,10,10,7.33,81.83
852,United States (Hawaii),Pacific,7.83,7.83,7.83,8,7.83,7.83,10,6.67,10,8,81.83
853,Brazil,SouthA,7.75,7.75,7.5,7.42,7.83,7.75,9.33,9.33,9.33,7.83,81.83
854,Guatemala,CentralA,7.83,7.67,7.33,7.33,7.67,7.83,9.33,10,9.33,7.5,81.83
855,Mexico,CentralA,7.83,7.33,7.25,7.58,7.25,7.33,10,10,10,7.25,81.83
856,Mexico,CentralA,7.33,7.33,7.25,7.5,7.5,7.5,10,10,10,7.42,81.83
857,Brazil,SouthA,7.33,7.67,7.25,7.5,7.5,7.25,10,10,10,7.33,81.83
858,Colombia,SouthA,7.58,7.5,7.17,7.58,7.33,7.33,10,10,10,7.33,81.83
859,United States (Hawaii),Pacific,7.25,7.58,7.83,7.67,7.75,7.75,9.33,9.33,10,7.33,81.83
860,Guatemala,CentralA,7.5,7.5,7.25,7.42,7.42,7.33,10,10,10,7.33,81.75
861,Vietnam,Asia,7,7.08,7.33,7.5,7.5,7.33,10,10,10,8,81.75
862,"Tanzania, United Republic Of",Africa,7.42,7.42,7.42,7.42,7.33,7.33,10,10,10,7.42,81.75
863,Brazil,SouthA,7.17,7.25,7.17,7.25,7.42,8.25,10,10,10,7.25,81.75
864,Mexico,CentralA,7.5,7.5,7.33,7.42,7.25,7.25,10,10,10,7.5,81.75
865,Mexico,CentralA,7.42,7.5,7.17,7.67,7.33,7.42,10,10,10,7.25,81.75
866,Mexico,CentralA,7.42,7.5,7.33,7.58,7.33,7.33,10,10,10,7.25,81.75
867,Mexico,CentralA,7.33,7.42,7.33,7.67,7.42,7.25,10,10,10,7.33,81.75
868,Mexico,CentralA,7.5,7.42,7.25,7.33,7.67,7.25,10,10,10,7.33,81.75
869,Colombia,SouthA,7.33,7.42,7.33,7.33,7.5,7.67,10,10,10,7.17,81.75
870,Colombia,SouthA,7.42,7.58,6.92,7.08,7.25,8,10,10,10,7.5,81.75
871,Brazil,SouthA,7.42,7.5,7.25,7.5,7.5,7.25,10,10,10,7.25,81.67
872,Guatemala,CentralA,7.42,7.42,7.08,7.42,7.33,7.42,10,10,10,7.58,81.67
873,Guatemala,CentralA,7.42,7.33,7.17,7.67,7.33,7.42,10,10,10,7.33,81.67
874,Honduras,CentralA,7.58,7.5,7.33,7.33,7.42,7.25,10,10,10,7.25,81.67
875,"Tanzania, United Republic Of",Africa,7.17,7.33,7.33,7.42,7.5,7.33,10,10,10,7.58,81.67
876,Nicaragua,CentralA,7.58,7.5,7.25,7.25,7.5,7.25,10,10,10,7.33,81.67
877,Colombia,SouthA,7.75,7.75,7.75,7.67,5.25,7.83,10,10,10,7.67,81.67
878,Brazil,SouthA,7.25,7.75,6.92,7.42,7.5,7.58,10,10,10,7.25,81.67
879,"Tanzania, United Republic Of",Africa,7.42,7.33,7.25,7.42,7.5,7.42,10,10,10,7.33,81.67
880,"Tanzania, United Republic Of",Africa,7.33,7.33,7.5,7.25,7.42,7.33,10,10,10,7.5,81.67
881,Brazil,SouthA,7.25,7.42,7.25,7.5,7.5,7.42,10,10,10,7.33,81.67
882,Indonesia,Asia,7.17,7.42,7.33,7.42,7.33,7.42,10,10,10,7.58,81.67
883,Honduras,CentralA,7.5,7.33,7.5,7.5,7.17,7.17,10,10,10,7.5,81.67
884,Costa Rica,CentralA,7.5,7.17,7.17,7.17,7.5,7.08,10,10,10,8.08,81.67
885,Mexico,CentralA,7.42,7.42,7.67,8,7.58,7.5,9.33,9.33,10,7.42,81.67
886,Taiwan,Asia,7.5,7.5,7.5,7.25,7.42,7.25,10,10,10,7.25,81.67
887,Taiwan,Asia,7.58,7.42,7.33,7.42,7.33,7.33,10,10,10,7.25,81.67
888,Mexico,CentralA,7.5,7.42,7.08,7.58,7.33,7.33,10,10,10,7.42,81.67
889,Guatemala,CentralA,7.5,7.67,7.33,7.33,7.33,7.33,10,10,10,7.17,81.67
890,Mexico,CentralA,7.25,7.67,7.58,7.67,7.67,7.58,8.67,10,10,7.58,81.67
891,Mexico,CentralA,7.67,7.25,7.17,7.75,7.5,7.25,10,10,10,7.08,81.67
892,Mexico,CentralA,7.5,7.42,7.33,7.42,7.42,7.42,10,10,10,7.17,81.67
893,Mexico,CentralA,7.58,7.42,7.25,7.58,7.25,7.17,10,10,10,7.42,81.67
894,Mexico,CentralA,7.75,7.58,7.25,7.17,7.58,7.33,9.33,10,10,7.67,81.67
895,United States (Hawaii),Pacific,7.42,7.33,7.33,7.33,7.17,7.83,10,10,10,7.25,81.67
896,Honduras,CentralA,7.5,7.42,7.08,7.42,7.5,7.33,10,10,10,7.33,81.58
897,Guatemala,CentralA,7.42,7.42,7.08,7.5,7.42,7.33,10,10,10,7.42,81.58
898,Taiwan,Asia,7.42,7.42,7.25,7.67,7.33,7.25,10,10,10,7.25,81.58
899,Costa Rica,CentralA,7.58,7.42,7.5,7.17,7.08,7.58,10,10,10,7.25,81.58
900,"Tanzania, United Republic Of",Africa,7.42,7.42,7.33,7.42,7.42,7.33,10,10,10,7.25,81.58
901,Malawi,Africa,7.42,7.42,7.17,7.58,7.33,7.33,10,10,10,7.33,81.58
902,Taiwan,Asia,7.33,7.17,7.08,7.08,8.33,8.25,10,10,9.33,7,81.58
903,Brazil,SouthA,7.42,7.42,7.33,7.33,7.5,7.25,10,10,10,7.33,81.58
904,Guatemala,CentralA,7.42,7.33,7.17,7.58,7.42,7.5,10,10,10,7.17,81.58
905,Mexico,CentralA,7.67,7.5,7.42,7.5,6.75,7.42,10,10,10,7.33,81.58
906,Mexico,CentralA,7.33,7.5,7.25,7.5,7.5,7.17,10,10,10,7.33,81.58
907,Mexico,CentralA,7.67,7.58,7.42,7.58,7.58,7.42,10,10,8.67,7.67,81.58
908,Thailand,Asia,7.08,7.33,7.58,7.58,7.17,7.5,10,10,10,7.33,81.58
909,Thailand,Asia,7.33,7.33,7.17,7.5,7.58,7.33,10,10,10,7.33,81.58
910,Costa Rica,CentralA,7.25,7.17,7.33,7.33,7.5,7.75,10,10,10,7.25,81.58
911,Guatemala,CentralA,7.67,7.58,7.17,7.42,7.33,7.42,9.33,10,10,7.58,81.5
912,Nicaragua,CentralA,7.5,7.42,7.33,7.33,7.25,7.33,10,10,10,7.33,81.5
913,Honduras,CentralA,7.5,7.5,7.33,7.42,7.17,7.25,10,10,10,7.33,81.5
914,Guatemala,CentralA,7.5,7.42,7.25,7.25,7.5,7.25,10,10,10,7.33,81.5
915,Taiwan,Asia,7.5,7.42,7.33,7.08,7.58,7.25,10,10,10,7.33,81.5
916,Myanmar,Asia,7.25,7.42,7.25,7.5,7.33,7.33,10,10,10,7.42,81.5
917,Costa Rica,CentralA,7.83,7.33,7.08,7.08,7.33,7.5,10,10,10,7.33,81.5
918,Malawi,Africa,7.67,7.42,6.92,7.5,7.5,7.17,10,10,10,7.33,81.5
919,Guatemala,CentralA,7.5,7.42,7.17,7.58,7.25,7.42,10,10,10,7.17,81.5
920,Taiwan,Asia,7.42,7.33,7.67,7.33,7.42,7.5,10,10,9.33,7.5,81.5
921,Brazil,SouthA,7.58,7.5,7.5,7.67,7.67,7.83,9.33,9.33,9.33,7.75,81.5
922,Haiti,CentralA,7.42,7.33,7.25,7.42,7.42,7.33,10,10,10,7.33,81.5
923,Taiwan,Asia,7.5,7.42,7.25,7.25,7.33,7.33,10,10,10,7.42,81.5
924,Mexico,CentralA,7.33,7.33,7.17,7.42,7.5,7.5,10,10,10,7.25,81.5
925,Mexico,CentralA,7.58,7.42,7.25,7.42,7.33,7.33,10,10,10,7.17,81.5
926,Mexico,CentralA,7.42,7.25,7.17,7.42,7.17,8,10,10,10,7.08,81.5
927,Mexico,CentralA,7.33,7.5,7.33,7.33,7.33,7.42,10,10,10,7.25,81.5
928,Mexico,CentralA,7.42,7.42,7.33,7.17,7.25,7.42,10,10,10,7.5,81.5
929,Mexico,CentralA,7.5,7.5,7.25,7.5,7.42,7.58,9.33,10,10,7.42,81.5
930,Indonesia,Asia,7.75,7.17,7.17,7.33,7.58,7.33,10,10,10,7.17,81.5
931,Brazil,SouthA,7.5,7.42,7.17,7.42,7.5,7.33,10,10,10,7.17,81.5
932,Guatemala,CentralA,7.33,7.5,7.33,7.42,7.17,7.33,10,10,10,7.42,81.5
933,Colombia,SouthA,7.42,7.42,7.17,7.42,7.42,7.33,10,10,10,7.33,81.5
934,United States (Hawaii),Pacific,7.33,7.33,7.33,7.5,7.5,7.83,9.33,10,10,7.33,81.5
935,Mexico,CentralA,7.58,7.33,7.08,7.33,7.5,7.33,10,10,10,7.25,81.42
936,Guatemala,CentralA,7.42,7.33,7.08,7.58,7.33,7.25,10,10,10,7.42,81.42
937,Brazil,SouthA,7.33,7.5,7.5,7.33,6.83,7.42,10,10,10,7.5,81.42
938,Honduras,CentralA,7.5,7.33,7.17,7.25,7.5,7.42,10,10,10,7.25,81.42
939,Taiwan,Asia,7.83,7.75,7.42,7.17,7.08,7.08,10,10,10,7.08,81.42
940,Malawi,Africa,7.58,7.17,7.33,7.42,7.08,7.42,10,10,10,7.42,81.42
941,Brazil,SouthA,7.25,7.5,7.42,7.17,7.33,7.33,10,10,10,7.42,81.42
942,Guatemala,CentralA,7.42,7.5,7.17,7.42,7.42,7.42,10,10,10,7.08,81.42
943,Mexico,CentralA,7.67,7.33,7.25,7.17,7.25,7.42,10,10,10,7.33,81.42
944,Peru,SouthA,7.42,7.42,7.17,7.33,7.42,7.42,10,10,10,7.25,81.42
945,Guatemala,CentralA,7.42,7.33,7.25,7.42,7.42,7.5,10,10,10,7.08,81.42
946,Mexico,CentralA,7.42,7.33,7.25,7.17,7.25,7.42,10,10,10,7.58,81.42
947,Mexico,CentralA,7.42,7.42,7.25,7.25,7.5,7.33,10,10,10,7.25,81.42
948,Colombia,SouthA,7.5,7.42,7.25,7.17,7.17,7.75,10,10,10,7.17,81.42
949,Colombia,SouthA,7.75,7.33,7.42,7,7.33,7.25,10,10,10,7.33,81.42
950,United States (Hawaii),Pacific,7.83,7,7,7.58,7.58,7.5,10,10,10,6.92,81.42
951,Colombia,SouthA,7.5,7.33,7.33,7.17,7.33,7.42,10,10,10,7.25,81.33
952,Honduras,CentralA,7.5,7.5,7,7.17,7.5,7.33,10,10,10,7.33,81.33
953,Mexico,CentralA,7.67,7.42,7,7.42,7.58,7.08,10,10,10,7.17,81.33
954,Brazil,SouthA,7.25,7.33,7.33,7.33,7.33,7.42,10,10,10,7.33,81.33
955,Honduras,CentralA,7.58,7.42,7.17,7.42,7.17,7.17,10,10,10,7.42,81.33
956,Brazil,SouthA,7.17,7.33,7.42,7.25,7.42,7.33,10,10,10,7.42,81.33
957,Philippines,Asia,7.08,7.33,7.42,7.33,7.33,7.5,10,10,10,7.33,81.33
958,Malawi,Africa,7.75,7.33,7.08,7.33,7.33,7.25,10,10,10,7.25,81.33
959,Honduras,CentralA,7.33,7.33,7.17,7.33,7.5,7.33,10,10,10,7.33,81.33
960,Mexico,CentralA,7.58,7.42,7.25,7.33,7.25,7.25,10,10,10,7.25,81.33
961,Mexico,CentralA,7.33,7.25,7.17,7.42,7.58,7.33,10,10,10,7.25,81.33
962,Brazil,SouthA,7.5,7.58,7.5,7.5,7.75,7.83,9.33,9.33,9.33,7.58,81.33
963,Taiwan,Asia,7.83,7.75,7.67,7.83,7.83,7.75,9.33,10,10,5.25,81.25
964,Brazil,SouthA,7.17,7.42,7.17,7.08,6.92,8.17,10,10,10,7.33,81.25
965,Nicaragua,CentralA,7.08,7.5,7.33,7.17,7.42,7.25,10,10,10,7.5,81.25
966,Honduras,CentralA,7.42,7.17,7.17,7.5,7.33,7.25,10,10,10,7.42,81.25
967,Guatemala,CentralA,7.33,7.42,7.17,7.25,7.42,7.33,10,10,10,7.33,81.25
968,"Tanzania, United Republic Of",Africa,7.33,7.17,7.17,7.5,7.25,7.42,10,10,10,7.42,81.25
969,Taiwan,Asia,7.5,7.5,7.25,7.25,7.25,7.25,10,10,10,7.25,81.25
970,Guatemala,CentralA,7.5,7.33,7.5,7.58,7,7.25,10,10,10,7.08,81.25
971,Mexico,CentralA,7.42,7.42,7.33,7.33,7.5,7.42,9.33,10,10,7.5,81.25
972,Nicaragua,CentralA,7.33,7.5,7.17,7.17,7.58,7.17,10,10,10,7.25,81.17
973,"Tanzania, United Republic Of",Africa,7.67,7.17,7.17,7.33,7.5,7.17,10,10,10,7.17,81.17
974,Mexico,CentralA,7.75,7.58,7.08,7.25,7.08,7.25,10,10,10,7.17,81.17
975,Costa Rica,CentralA,7.5,7.5,7.33,7.17,7.08,7.17,10,10,10,7.42,81.17
976,Honduras,CentralA,7.42,7.33,7,7.42,7.33,7.33,10,10,10,7.33,81.17
977,Thailand,Asia,6.83,7.42,7.42,7.17,7.5,7.42,10,10,10,7.42,81.17
978,Philippines,Asia,7.25,7.25,7.25,7.08,7.58,7.5,10,10,10,7.25,81.17
979,"Tanzania, United Republic Of",Africa,7.58,7.17,7.17,7.33,7.33,7.25,10,10,10,7.33,81.17
980,Malawi,Africa,7.58,7.25,7.33,7.08,7.33,7.33,10,10,10,7.25,81.17
981,Costa Rica,CentralA,7.33,7.08,7.33,7.25,7.33,7.58,10,10,10,7.25,81.17
982,Brazil,SouthA,7.42,7.42,7.17,7.42,7.33,7.25,10,10,10,7.17,81.17
983,Mexico,CentralA,7.42,7.25,7.08,7.75,7.42,7.17,10,10,10,7.08,81.17
984,Guatemala,CentralA,7.42,7.25,7.33,7.25,7.25,7.42,10,10,10,7.25,81.17
985,Brazil,SouthA,7.42,7.33,7.25,7.42,7.5,7.17,10,10,10,7.08,81.17
986,United States (Hawaii),Pacific,7.25,7.75,7.67,7.67,7.42,7.67,8.67,9.33,10,7.75,81.17
987,Ethiopia,Africa,7.42,7.33,7.17,7.33,7.42,7.17,10,10,10,7.25,81.08
988,Brazil,SouthA,7.58,7.42,7.5,7.25,7.75,7.58,9.33,10,9.33,7.33,81.08
989,Nicaragua,CentralA,7.33,7.33,7.33,7.42,7.33,7.33,10,10,10,7,81.08
990,United States,NorthA,7.42,7.17,7.33,7.42,7.25,7.33,10,10,10,7.17,81.08
991,"Tanzania, United Republic Of",Africa,7.42,7.33,7.33,7.25,7.25,7.33,10,10,10,7.17,81.08
992,Costa Rica,CentralA,7.42,7.25,7.17,7.25,7.25,7.58,10,10,10,7.17,81.08
993,United States (Puerto Rico),CentralA,7.67,7.75,7.67,7.58,7.58,7.67,6.67,10,10,8.5,81.08
994,Mexico,CentralA,7.25,7.42,7.33,7.33,7.17,7.33,10,10,10,7.25,81.08
995,Mexico,CentralA,7.33,7.25,7.33,7.42,7.25,7.42,10,10,10,7.08,81.08
996,Mexico,CentralA,7.33,7.33,7.25,7.42,7.25,7.25,10,10,10,7.25,81.08
997,Mexico,CentralA,7.42,7.33,7.25,7.42,7.17,7.25,10,10,10,7.25,81.08
998,United States (Hawaii),Pacific,7.42,7.42,7.25,7.58,6.92,7.17,10,10,10,7.33,81.08
999,Brazil,SouthA,7.25,7.25,7.17,7.5,7.33,7.17,10,10,10,7.33,81
1000,El Salvador,CentralA,7.42,7.08,7.08,7.33,7.25,7.58,10,10,10,7.25,81
1001,Brazil,SouthA,7.33,7.17,7.17,7.67,7.33,7.17,10,10,10,7.17,81
1002,Guatemala,CentralA,7.42,7.25,7.17,7.5,7.25,7.17,10,10,10,7.25,81
1003,Colombia,SouthA,7.67,7.5,7.42,5.25,7.67,7.75,10,10,10,7.75,81
1004,Guatemala,CentralA,7.5,7.25,7,7.25,7.5,7.25,10,10,10,7.25,81
1005,Taiwan,Asia,7.25,7.17,7.17,7.25,7.5,7.33,10,10,10,7.33,81
1006,Honduras,CentralA,7.42,7.25,7.25,7.33,7.25,7.17,10,10,10,7.33,81
1007,Brazil,SouthA,7.67,7.75,7.83,7.75,7.83,7.75,10,6.67,10,7.75,81
1008,"Tanzania, United Republic Of",Africa,7.33,7.33,7.08,7.42,7.17,7.33,10,10,10,7.33,81
1009,Uganda,Africa,7.33,6.92,7.17,7.33,7.42,7.42,10,10,10,7.42,81
1010,Taiwan,Asia,7.5,6.92,7.33,7.33,7.33,7.33,10,10,10,7.25,81
1011,Thailand,Asia,7.33,7.42,7.25,7.42,7.25,7.17,10,10,10,7.17,81
1012,Mexico,CentralA,7.08,7.33,7.33,7.33,7.42,7.25,10,10,10,7.25,81
1013,Mexico,CentralA,7.58,7.67,7.5,7.67,7.58,7.5,8,10,10,7.5,81
1014,Taiwan,Asia,7.33,7.17,7.25,7.33,7.33,7.25,10,10,10,7.25,80.92
1015,Guatemala,CentralA,7.67,7.67,7.33,7.58,7.67,7.5,9.33,9.33,9.33,7.5,80.92
1016,Kenya,Africa,7.17,7.58,7.5,7.5,8,7.75,10,10,10,5.42,80.92
1017,Mexico,CentralA,7.5,7.33,7.17,7.42,7.5,7.33,9.33,10,10,7.33,80.92
1018,Myanmar,Asia,7.17,7.42,7,7.58,7.33,7,10,10,10,7.42,80.92
1019,United States (Hawaii),Pacific,7.42,7.08,7.17,7.17,7.58,7.25,10,10,10,7.25,80.92
1020,"Tanzania, United Republic Of",Africa,7.33,7.17,7.17,7.25,7.42,7.33,10,10,10,7.25,80.92
1021,Brazil,SouthA,7.25,7.33,7.25,7.25,7.25,7.33,10,10,10,7.25,80.92
1022,Taiwan,Asia,7.92,7.67,7.33,7.08,7.08,7.08,10,10,10,6.75,80.92
1023,Brazil,SouthA,7.17,7.42,7.17,7.25,7.25,7.33,10,10,10,7.33,80.92
1024,Nicaragua,CentralA,7.33,7.08,7.25,7,7.5,7.42,10,10,10,7.33,80.92
1025,Guatemala,CentralA,7.58,7.42,6.92,7.5,7.25,7.17,10,10,10,7.08,80.92
1026,Taiwan,Asia,7.42,7.25,7.25,7.25,7.25,7.25,10,10,10,7.25,80.92
1027,Taiwan,Asia,7.25,7.17,7.08,7.08,7.08,8.08,10,10,10,7.17,80.92
1028,Taiwan,Asia,7.42,7.25,7.25,7.25,7.25,7.25,10,10,10,7.25,80.92
1029,Mexico,CentralA,7.58,7.33,7.08,7.5,7.17,7.25,10,10,10,7,80.92
1030,Thailand,Asia,7.67,7.58,7.33,7.33,7.17,7,10,10,10,6.83,80.92
1031,Laos,Asia,7.42,7.33,7.17,7.17,7.17,7.25,10,10,10,7.33,80.83
1032,Guatemala,CentralA,7.67,7.25,7.08,7.33,7.17,7.25,10,10,10,7.08,80.83
1033,Mexico,CentralA,7.17,7.08,7.25,7.42,7.25,7.33,10,10,10,7.33,80.83
1034,Mexico,CentralA,7.33,7.25,7.33,7.33,7.25,7.17,10,10,10,7.17,80.83
1035,Mexico,CentralA,7.5,7.17,7.33,7.25,7.17,7.17,10,10,10,7.25,80.83
1036,United States (Hawaii),Pacific,7.42,7.33,7,7.25,7.33,7.5,10,10,10,7,80.83
1037,Colombia,SouthA,7.33,7.33,7,6.83,7.33,7.67,10,10,10,7.33,80.83
1038,Brazil,SouthA,7.17,7.25,7.08,7.17,7.25,7.58,10,10,10,7.25,80.75
1039,Myanmar,Asia,6.92,7.5,7,7.58,7.5,7.08,10,10,10,7.17,80.75
1040,Guatemala,CentralA,7.5,7.33,7,7.42,7.17,7.17,10,10,10,7.17,80.75
1041,Nicaragua,CentralA,7.25,7.25,7.17,7.25,7.33,7.25,10,10,10,7.25,80.75
1042,Honduras,CentralA,7.5,7.33,7,7.42,7.25,7.17,10,10,10,7.08,80.75
1043,Panama,CentralA,7.25,7.33,7.17,7.33,7.33,7.17,10,10,10,7.17,80.75
1044,Honduras,CentralA,7.42,7.17,7.08,7.42,7.25,7.25,10,10,10,7.17,80.75
1045,Honduras,CentralA,7.25,7.33,7.08,7.5,7.25,7.33,10,10,10,7,80.75
1046,Costa Rica,CentralA,7.33,7.33,7.25,7.25,7.17,7.17,10,10,10,7.25,80.75
1047,Mexico,CentralA,7.58,7.33,7.42,7.25,7.5,7.5,9.33,9.33,10,7.5,80.75
1048,Haiti,CentralA,7.42,7,7.42,7.25,7.08,7.33,10,10,10,7.25,80.75
1049,United States (Hawaii),Pacific,7.08,7.33,7.17,7.25,7.33,7.67,10,10,10,6.92,80.75
1050,Taiwan,Asia,7.33,7.08,7.08,7.08,7.42,7.33,10,10,10,7.33,80.67
1051,Indonesia,Asia,7.58,7.42,7,7.67,7.5,7.5,9.33,9.33,10,7.33,80.67
1052,Guatemala,CentralA,7.67,7.42,6.83,7.17,7.42,7.17,10,10,10,7,80.67
1053,Costa Rica,CentralA,7.83,7.5,7.67,7.67,7.83,7.5,6.67,10,10,8,80.67
1054,Malawi,Africa,7.5,7.25,7.17,7.17,7.25,7.17,10,10,10,7.17,80.67
1055,Mexico,CentralA,7.25,7.17,7.17,7.25,7.17,7.42,10,10,10,7.25,80.67
1056,Colombia,SouthA,7.67,7.5,7.42,7.67,7.5,7.75,10,10,6.67,8.5,80.67
1057,Guatemala,CentralA,7.67,7.17,7,7.5,7,7,10,10,10,7.33,80.67
1058,Guatemala,CentralA,7,7.33,7.5,7.33,7,7.33,10,10,10,7.17,80.67
1059,Guatemala,CentralA,7,7.5,7.33,7.17,7.17,7.17,10,10,10,7.33,80.67
1060,Colombia,SouthA,7.17,7.25,7.08,7.42,7.08,7.42,10,10,10,7.25,80.67
1061,Brazil,SouthA,7.33,7.25,7.33,7.08,7.58,7.25,9.33,10,10,7.42,80.58
1062,Nicaragua,CentralA,7.08,7.5,7,7.25,7.42,7,10,10,10,7.33,80.58
1063,"Tanzania, United Republic Of",Africa,7.25,7.08,7.08,7.33,7.33,7.25,10,10,10,7.25,80.58
1064,Brazil,SouthA,7.42,7.25,7.33,7,7.08,7.25,10,10,10,7.25,80.58
1065,Honduras,CentralA,7.5,7.17,7,7.42,7.33,7,10,10,10,7.17,80.58
1066,Guatemala,CentralA,7.17,7.42,6.83,7.5,7.17,7.25,10,10,10,7.25,80.58
1067,United States (Hawaii),Pacific,7.42,7.58,7.5,7.92,7.83,7.83,8.67,8.67,9.33,7.83,80.58
1068,Colombia,SouthA,7.08,7.25,7,7.5,7.08,7.33,10,10,10,7.33,80.58
1069,Taiwan,Asia,7.17,7.17,7.17,7.42,7.17,7.25,10,10,10,7.17,80.5
1070,Guatemala,CentralA,7.33,7.25,7.08,7.17,7.25,7.17,10,10,10,7.25,80.5
1071,Honduras,CentralA,7.58,7.33,7,7.17,7.33,7.08,10,10,10,7,80.5
1072,Mauritius,Africa,7.25,7.25,7.17,7.17,7.25,7.17,10,10,10,7.25,80.5
1073,Brazil,SouthA,7.25,7.33,7.17,7.5,7.33,7.25,9.33,10,10,7.33,80.5
1074,Myanmar,Asia,7.17,7.33,7.17,7.42,7.25,7.08,10,10,10,7.08,80.5
1075,Guatemala,CentralA,7.5,7.17,6.83,7.5,7.17,7.17,10,10,10,7.17,80.5
1076,Brazil,SouthA,7.42,7.42,7.08,7.33,7.67,7.5,9.33,9.33,10,7.42,80.5
1077,United States (Hawaii),Pacific,7.42,7.33,7.33,7.58,7.58,7.42,8.67,10,10,7.17,80.5
1078,Guatemala,CentralA,7.5,7.5,7,7.67,7.17,7,10,10,10,6.67,80.5
1079,Mexico,CentralA,7.25,7.25,7.08,7.33,7.25,7.17,10,10,10,7.17,80.5
1080,Honduras,CentralA,7.25,7.42,7,7.42,7.33,7,10,10,10,7,80.42
1081,Taiwan,Asia,7.58,7.17,7.17,7.17,7.17,7.17,10,10,10,7,80.42
1082,El Salvador,CentralA,7.33,7.17,7.08,7.08,7.33,7.17,10,10,10,7.25,80.42
1083,China,Asia,7.25,7.08,7.25,7.17,7.33,7.17,10,10,10,7.17,80.42
1084,Taiwan,Asia,7.25,7.25,7.17,7.25,7.25,7.25,10,10,10,7,80.42
1085,Mexico,CentralA,6.92,7.17,7.08,7.5,7.33,7.17,10,10,10,7.25,80.42
1086,Mexico,CentralA,7.42,7.08,7.08,7.33,7.25,7.17,10,10,10,7.08,80.42
1087,Burundi,Africa,7.08,7.25,7.17,7.33,7.08,7.08,10,10,10,7.33,80.33
1088,"Tanzania, United Republic Of",Africa,7.25,7.17,7,7.25,7.42,7.08,10,10,10,7.17,80.33
1089,"Tanzania, United Republic Of",Africa,7.25,7.17,7.25,7.25,7.25,7.08,10,10,10,7.08,80.33
1090,Taiwan,Asia,7.25,7.25,7.08,7.25,7.25,7.25,10,10,10,7,80.33
1091,Guatemala,CentralA,7.33,7.33,6.83,7.5,7,7.17,10,10,10,7.17,80.33
1092,Mexico,CentralA,7.25,7.08,7.08,7.33,7.33,7.17,10,10,10,7.08,80.33
1093,United States (Hawaii),Pacific,7.17,7.5,6.92,7.33,7.67,7.33,9.33,10,10,7.08,80.33
1094,Ethiopia,Africa,7.25,7.25,7.25,7.33,7.5,8,9.33,9.33,10,7.08,80.33
1095,Brazil,SouthA,7.17,7.33,7.42,7.08,7,7,10,10,10,7.25,80.25
1096,Honduras,CentralA,7.25,7.25,7,7,7.42,7,10,10,10,7.33,80.25
1097,Mexico,CentralA,7.25,7.17,7,7.33,7.33,7,10,10,10,7.17,80.25
1098,Myanmar,Asia,8,7.08,7,7.33,7.08,6.92,10,10,10,6.83,80.25
1099,Myanmar,Asia,7.42,7,7.08,7,7.17,7.33,10,10,10,7.25,80.25
1100,Nicaragua,CentralA,7.08,6.92,7,7.25,7.5,7.25,10,10,10,7.25,80.25
1101,United States (Hawaii),Pacific,7.5,7.08,7.67,7.67,7.42,7.58,9.33,9.33,9.33,7.33,80.25
